Station Number,Sample ID,Sample Date,Statutory Class,Attained Class,Report,Final Determination
S-74,715,8/21/1998,AA,Yes,,A
S-74,808,8/25/1999,AA,Yes,,A
S-74,877,8/16/2000,AA,Yes,,A
S-74,998,8/14/2001,AA,Yes,,A
S-74,1135,8/12/2002,AA,Yes,View,A
S-74,1220,8/11/2003,AA,Yes,View,A
S-74,1364,8/10/2004,AA,Yes,View,A
S-74,1314,8/10/2005,AA,Yes,View,A
S-74,1506,9/21/2005,AA,Yes,View,A
S-74,1539,8/7/2006,AA,Yes,View,A
S-74,1629,8/7/2007,AA,Yes,View,A
S-74,1706,8/4/2008,AA,Yes,View,A
S-74,1875,8/31/2009,AA,Yes,View,A
S-74,1919,8/10/2010,AA,Yes,View,A
S-74,2020,8/8/2011,AA,Yes,View,A
S-74,2089,8/6/2012,AA,Yes,View,A
S-74,2183,8/5/2013,AA,Yes,View,A
S-74,2252,8/5/2014,AA,Yes,View,A
S-74,2341,8/3/2015,AA,Yes,View,A
S-74,2463,8/2/2016,AA,Yes,View,A
S-74,2547,8/1/2017,AA,Yes,View,A
S-75,93,9/4/1984,AA,Yes,Report,A
S-75,622,8/25/1997,AA,No,,B
S-76,94,9/5/1984,C,No,Report,NA
S-76,133,7/5/1985,C,Yes,,B
S-76,159,8/27/1985,C,No,,NA
S-76,219,8/16/1988,C,Yes,,C
S-76,220,8/16/1988,C,No,,NA
S-76,221,8/16/1988,C,No,,NA
S-76,290,8/1/1989,--,--,,
S-76,305,8/30/1990,C,No,,NA
S-76,364,8/25/1992,C,No,,NA
S-76,571,8/29/1996,C,Yes,,C
S-76,724,8/25/1998,C,Yes,,C
S-76,1250,8/21/2003,C,Yes,,C
S-76,2193,8/8/2013,C,Indeterminate,View,I
S-77,95,9/5/1984,C,No,Report,NA
S-77,222,8/16/1988,C,No,,NA
S-78,96,9/5/1984,C,No,Report,NA
S-78,132,7/5/1985,C,No,,NA
S-78,160,8/27/1985,C,No,,NA
S-78,186,8/20/1987,C,No,,NA
S-78,223,8/16/1988,C,No,,NA
S-78,291,8/1/1989,--,--,,
S-78,292,8/1/1989,--,--,,
S-78,365,8/25/1992,C,No,,NA
S-78,572,8/29/1996,C,Yes,,C
S-78,725,8/25/1998,C,Yes,,C
S-78,1251,7/25/2003,C,Yes,,C
S-78,1363,8/21/2003,C,Yes,,C
S-79,SA-79-2003,7/7/2003,--,--,Report,
S-79,SA-79-2003R (198),7/7/2003,C,Yes,,B
S-79,SA-79-2008,7/7/2008,--,--,,
S-79,SA-79-2008R (749),7/7/2008,C,Yes,,A
S-79,SA-79-2013,7/18/2013,--,--,,
S-79,SA-79-2013R (1360),7/18/2013,C,Yes,,B
S-79,SA-79-2018,7/9/2018,--,--,,
S-79,SA-79-2018 (1751),7/9/2018,--,--,,
S-79,SA-79-2018R (1751),7/9/2018,--,--,,
S-79,98,9/5/1984,C,No,Report,NA
S-79,710,8/19/1998,C,Yes,,B
S-79,1239,8/18/2003,C,Yes,,B
S-79,1728,8/11/2008,C,Yes,View,A
S-79,2208,8/19/2013,C,Yes,View,A
S-79,2663,8/15/2018,C,Yes,,A
S-80,100,9/6/1984,B,Yes,Report,B
S-80,416,8/30/1993,B,Yes,,B
S-81,101,9/6/1984,B,No,Report,NA
S-81,417,8/30/1993,B,No,,C
S-81,1037,8/27/2001,B,Yes,,A
S-81,1576,8/21/2006,B,Yes,,A
S-81,2058,8/25/2011,B,Yes,View,A
S-81,2503,8/23/2016,B,Yes,View,B
S-82,102,9/10/1984,C,Yes,Report,C
S-82,529,8/17/1995,C,No,,NA
S-82,584,9/9/1996,C,Yes,,B
S-82,660,8/1/1997,C,Indeterminate,,I
S-82,664,9/1/1997,C,Yes,,C
S-82,926,8/31/2000,C,Yes,,B
S-82,1070,8/28/2001,C,Yes,,C
S-82,1190,9/4/2002,C,Yes,,C
S-82,1289,8/29/2003,C,Yes,,B
S-82,1299,9/3/2004,C,Yes,,B
S-82,1536,8/30/2005,C,Yes,,B
S-82,1618,8/31/2006,C,Yes,,B
S-82,1699,8/30/2007,C,Yes,View,C
S-82,1779,9/4/2008,C,Yes,View,B
S-82,1904,9/16/2009,C,Yes,View,B
S-82,2001,9/1/2010,C,Yes,View,B
S-83,SA-83-2001,7/16/2001,--,--,Report,
S-83,SA-83-2001P (78),7/16/2001,--,--,,
S-83,SA-83-2001R (77),7/16/2001,A,Yes,,A
S-83,SA-83-2004,7/7/2004,--,--,,
S-83,SA-83-2004B,8/2/2004,--,--,,
S-83,SA-83-2004BR (315),8/2/2004,A,Yes,,A
S-83,SA-83-2004R (257),7/7/2004,A,Yes,,A
S-83,SA-83-2006,6/27/2006,--,--,,
S-83,SA-83-2006R (535),6/27/2006,A,Yes,,A
S-83,SA-83-2016,7/5/2016,--,--,,
S-83,SA-83-2016R (1627),7/5/2016,--,--,,
S-83,103,9/10/1984,A,Yes,Report,A
S-83,171,9/3/1985,A,Yes,,A
S-83,253,8/21/1989,A,Yes,,A
S-83,302,8/20/1990,A,No,,B
S-83,559,8/26/1996,A,Yes,,A
S-83,1565,8/15/2006,A,Yes,View,A
S-83,2051,8/23/2011,A,Yes,View,A
S-84,104,9/10/1984,C,No,Report,NA
S-84,170,9/3/1985,C,No,,NA
S-84,254,8/21/1989,C,Yes,,A
S-84,294,8/20/1990,C,Yes,,B
S-84,560,8/26/1996,C,Yes,,A
S-85,105,9/10/1984,C,No,Report,NA
S-86,106,9/11/1984,C,Yes,Report,C
S-87,107,9/11/1984,C,Yes,Report,A
S-88,110,9/17/1984,B,Yes,Report,A
S-89,111,9/17/1984,B,Yes,Report,A
S-89,1362,9/3/2003,B,Yes,,A
S-90,114,10/11/1984,C,Yes,Report,C
S-90,288,11/2/1988,C,Yes,,C
S-90,296,8/21/1990,C,Yes,,C
S-90,368,8/26/1992,C,Yes,,C
S-90,426,9/13/1993,C,Yes,,C
S-90,467,8/22/1994,C,Yes,,C
S-90,626,8/26/1997,C,Yes,,C
S-90,1223,8/12/2003,C,Yes,,C
S-91,155,8/15/1985,C,Yes,Report,C
S-91,816,8/27/1998,C,Yes,,C
S-91,1122,8/28/2000,C,Yes,,C
S-91,1412,8/14/2001,C,Yes,,C
S-92,163,8/27/1985,C,Yes,Report,C
S-93,164,8/28/1985,C,Yes,Report,C
S-94,165,8/28/1985,A,No,Report,B
S-95,SA-95-2014,7/30/2014,--,--,Report,
S-95,SA-95-2014 (1414),7/30/2014,--,--,,
S-95,SA-95-2014R (1414),8/20/2014,B,Yes,,B
S-95,166,8/29/1985,B,Yes,Report,B
S-95,460,8/25/1994,B,No,,C
S-95,770,8/16/1999,B,Yes,,A
S-96,167,8/29/1985,B,Yes,Report,A
S-96,327,9/10/1991,B,Yes,,B
S-96,769,8/16/1999,B,Yes,,A
S-96,1387,8/17/2004,B,Yes,,A
S-97,169,8/29/1985,C,Yes,Report,B
S-98,175,9/11/1985,C,Yes,Report,C
S-99,455,8/25/1994,B,Yes,Report,B
S-99,774,8/17/1999,B,Yes,,B
S-100,177,9/12/1985,C,Yes,Report,C
S-101,SA-101-2008,7/10/2008,--,--,Report,
S-101,SA-101-2008R (757),7/10/2008,A,Yes,,A
S-101,189,8/21/1987,A,Yes,Report,A
S-101,711,8/20/1998,A,Yes,,A
S-102,190,8/21/1987,A,Yes,Report,A
S-102,730,8/27/1998,A,Yes,,A
S-102,1246,8/20/2003,A,Yes,,A
S-103,191,8/21/1987,A,Yes,Report,A
S-103,1741,8/20/2008,AA,Yes,View,A
S-103,2217,8/21/2013,AA,Yes,View,A
S-103,2656,8/13/2018,AA,Yes,,A
S-104,192,8/24/1987,B,Yes,Report,B
S-104,401,8/18/1992,B,Yes,,B
S-105,193,8/24/1987,B,Yes,Report,B
S-106,SA-106-2015,7/20/2015,--,--,Report,
S-106,SA-106-2015R (1534),7/20/2015,A,Yes,,A
S-106,194,8/24/1987,A,Yes,Report,A
S-106,917,8/31/2000,A,No,,B
S-106,1341,8/17/2005,A,No,,B
S-106,1952,8/23/2010,A,Yes,View,A
S-106,2374,8/18/2015,A,Yes,View,A
S-107,SA-107-2015,7/1/2015,--,--,Report,
S-107,SA-107-2015R (1516),7/1/2015,B,Yes,,A
S-107,195,8/24/1987,B,Yes,Report,A
S-107,1496,8/24/2005,B,Yes,,A
S-107,1961,8/25/2010,B,Yes,View,A
S-107,2368,8/13/2015,B,Yes,View,A
S-108,196,8/24/1987,B,Yes,Report,A
