FID,FID_1,Station_Nu,Station,Town,County,Major_Drai,Site_Type,Sample_Typ,Latitude,Longitude,PctImperv
116,85,S-640,UNNAMED STREAM (PORTLAND 6) - STATION 640,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.703890809999997,-70.262914899999998,0.1310000
117,4,S-71,PRESUMPSCOT RIVER - STATION 71,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.680889909999998,-70.371675069999995,0.0000000
118,25,S-238,PRESUMPSCOT RIVER - STATION 238,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.682198520000000,-70.354644350000001,0.0000000
119,30,S-295,PRESUMPSCOT RIVER - STATION 295,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.677916549999999,-70.365339849999998,0.0000000
120,38,S-325,PRESUMPSCOT RIVER - STATION 325,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.777185150000001,-70.451834529999999,0.0000000
121,39,S-326,PRESUMPSCOT RIVER - STATION 326,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.769707130000000,-70.445813479999998,0.0000000
122,40,S-327,PRESUMPSCOT RIVER - STATION 327,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.745005519999999,-70.439314120000006,0.0000000
123,73,S-472,TANNERY BROOK - STATION 472,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.689496149999997,-70.436869270000003,0.0000000
124,74,S-473,TANNERY BROOK - STATION 473,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.690197210000001,-70.436284090000001,0.0000000
125,104,S-802,PRESUMPSCOT RIVER - STATION 802,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.728191170000002,-70.285566810000006,0.0000000
