Station Number,Station,Town,County,Major Drainage,Site Type,Sample Type,Latitude,Longitude
S-58,ANDROSCOGGIN RIVER - STATION 58,BRUNSWICK,CUMBERLAND,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.95170677,-70.02272431
S-59,MEDOMAK RIVER - STATION 59,WALDOBORO,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.13322592,-69.41402369
S-60,MEDOMAK RIVER - STATION 60,WALDOBORO,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.11757728,-69.40004599
S-61,ANDROSCOGGIN RIVER - STATION 61,BRUNSWICK,CUMBERLAND,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.91202399,-69.93282693
S-62,PENOBSCOT RIVER - STATION 62,ORONO,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.88532645,-68.65742595
S-62,PENOBSCOT RIVER - STATION 62,ORONO,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.88532645,-68.65742595
S-63,MILLINOCKET STREAM - STATION 63,MILLINOCKET,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.64477298,-68.69947959
S-64,LITTLE ANDROSCOGGIN RIVER - STATION 64,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.06340875,-70.27338794
S-65,LITTLE ANDROSCOGGIN RIVER - STATION 65,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.06342036,-70.26022471
S-66,STROUDWATER RIVER - STATION 66,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.64478176,-70.40949580
S-67,STROUDWATER RIVER - STATION 67,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.64303547,-70.41192199
S-68,COOKS BROOK - STATION 68,WATERBORO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.56897034,-70.68283473
S-69,NORTH BRANCH LITTLE RIVER - STATION 69,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.73924508,-70.52449853
S-70,NORTH BRANCH LITTLE RIVER - STATION 70,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.74007894,-70.52172089
S-71,PRESUMPSCOT RIVER - STATION 71,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.68088991,-70.37167507
S-72,PRESUMPSCOT RIVER - STATION 72,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.70238487,-70.32570180
S-73,SHEEPSCOT RIVER - STATION 73,WHITEFIELD,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.25797266,-69.55158352
S-74,SHEEPSCOT RIVER - STATION 74,WHITEFIELD,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.22318568,-69.59334091
S-74,SHEEPSCOT RIVER - STATION 74,WHITEFIELD,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.22318568,-69.59334091
S-75,SHEEPSCOT RIVER - STATION 75,WHITEFIELD,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.17039200,-69.62444600
S-76,THOMPSON LAKE OUTLET - STATION 76,OXFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.13127369,-70.49528024
S-77,THOMPSON LAKE OUTLET - STATION 77,OXFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.13393380,-70.49248458
S-78,THOMPSON LAKE OUTLET - STATION 78,OXFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.13533443,-70.49034812
S-79,LITTLE ANDROSCOGGIN RIVER - STATION 79,PARIS,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.21109748,-70.51796159
S-79,LITTLE ANDROSCOGGIN RIVER - STATION 79,PARIS,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.21109748,-70.51796159
S-80,NARRAGUAGUS RIVER - STATION 80,CHERRYFIELD,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.60730130,-67.93667014
S-81,NARRAGUAGUS RIVER - STATION 81,CHERRYFIELD,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.60529168,-67.92760804
S-82,ANDROSCOGGIN RIVER - STATION 82,JAY,FRANKLIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.49833346,-70.21058856
S-83,PISCATAQUIS RIVER - STATION 83,ABBOT,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,45.18771152,-69.44768157
S-83,PISCATAQUIS RIVER - STATION 83,ABBOT,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.18771152,-69.44768157
S-84,PISCATAQUIS RIVER - STATION 84,GUILFORD,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.16799164,-69.37803544
S-85,PISCATAQUIS RIVER - STATION 85,GUILFORD,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.16894133,-69.36199191
S-86,QUIGGLE BROOK - STATION 86,HOPE,KNOX,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.21213503,-69.19541233
S-87,QUIGGLE BROOK - STATION 87,HOPE,KNOX,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.20868805,-69.20393147
S-88,FISH STREAM - STATION 88,ISLAND FALLS,AROOSTOOK,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.01362865,-68.28325952
S-89,WEST BRANCH MATTAWAMKEAG RIVER - STATION 89,ISLAND FALLS,AROOSTOOK,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.00779055,-68.26432518
S-90,EAST BRANCH SEBASTICOOK RIVER - STATION 90,CORINNA,PENOBSCOT,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.91561897,-69.25726873
S-91,MATTANAWCOOK STREAM - STATION 91,LINCOLN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.37417265,-68.51136643
S-92,LITTLE ANDROSCOGGIN RIVER - STATION 92,OXFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.13618400,-70.48894700
S-93,SEBEC RIVER - STATION 93,MILO,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.23528337,-68.96668890
S-94,SEBEC RIVER - STATION 94,SEBEC,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.27310436,-69.05337381
S-95,CARIBOU STREAM - STATION 95,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.85647568,-68.00332132
S-95,CARIBOU STREAM - STATION 95,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.85647568,-68.00332132
S-96,CARIBOU STREAM - STATION 96,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.84836053,-68.04369008
S-97,ST JOHN RIVER - STATION 97,HAMLIN,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.15226503,-67.92557941
S-98,KENNEBEC RIVER - STATION 98,GARDINER,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.17782824,-69.75411916
S-99,PRESTILE STREAM - STATION 99,MARS HILL,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.51415139,-67.86122066
S-100,PENOBSCOT RIVER - STATION 100,VEAZIE,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.82118134,-68.71392320
S-101,ELLIS RIVER - STATION 101,RUMFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.54673110,-70.68784624
S-101,ELLIS RIVER - STATION 101,RUMFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.54673110,-70.68784624
